,id,name,designation,absolute_magnitude_h,is_potentially_hazardous,is_sentry_object,diameter_min_m,diameter_max_m,diameter_avg_m,orbital_period_days,eccentricity,inclination_deg,perihelion_distance_au,aphelion_distance_au,last_close_approach_date,last_miss_distance_km,last_relative_velocity_kmh,orbiting_body,om,w,ma,epoch
0,2001620,1620 Geographos (1951 RA),1620,15.27,True,False,2347.2263753125,5248.5577337793,3797.8920545459,507.877358448078,0.3355121972702519,13.33579272082793,0.8278035737168112,1.66375028270058,1901-08-23,5071250.986983104,42346.1215537798,Earth,337.0,277.0,213.0,2461000.5
1,2002102,2102 Tantalus (1975 YA),2102,16.0,True,False,1677.0846216284,3750.0752179805,2713.57991980445,535.1971366002034,0.2993501728113047,64.00515474127633,0.9038809959185186,1.676240944724136,1912-12-23,10979848.95911695,122044.0246634538,Earth,94.4,61.5,347.0,2461000.5
2,2002201,2201 Oljato (1947 XC),2201,15.32,True,False,2293.7969799646,5129.0859737846,3711.4414768746,1174.576963860742,0.7107467143062985,2.521761458118109,0.6301834629348992,3.727128927993088,1903-06-18,25845171.89043248,91244.2563877579,Earth,74.9,98.4,97.0,2461000.5
3,2002340,2340 Hathor (1976 UA),2340,20.43,True,False,218.0494404829,487.5733713755,352.8114059292,283.1422301110497,0.4499362680235325,5.860590932930383,0.4641772223384067,1.223544382831028,1901-07-04,11911205.968456928,62969.6371285868,Merc,211.0,40.1,202.0,2461000.5
4,2002101,2101 Adonis (1936 CA),2101,18.69,True,False,485.9090374507,1086.5256386213,786.217338036,937.0475666015464,0.7641272866540292,1.319975555725494,0.442031456643264,3.306019349003813,1902-07-16,28140949.153484065,69587.3878906057,Earth,349.0,43.7,24.5,2461000.5
5,2002135,2135 Aristaeus (1977 HA),2135,18.05,True,False,652.4616297891,1458.9485569187,1055.7050933538999,738.9638465947008,0.5030860272069245,23.07237482818519,0.7948729510676352,2.404364722205181,1958-10-17,71380028.48041442,98776.0299183462,Earth,191.0,291.0,37.2,2461000.5
6,2001566,1566 Icarus (1949 MA),1566,16.53,True,False,1313.877806011,2937.9200883689,2125.89894718995,408.8362849142513,0.8270056908369543,22.8032205675089,0.1864944109615815,1.969581264173051,1902-06-11,12638658.792139495,97229.0019638462,Earth,88.0,31.4,153.0,2461000.5
7,2001862,1862 Apollo (1932 HA),1862,16.08,True,False,1616.4228333988,3614.4313358626,2615.4270846307,651.6039225887832,0.5599179930610263,6.351390019564655,0.6473270985742849,2.294520504225118,1911-01-29,9839828.72675955,41906.5693097868,Venus,35.5,286.0,114.0,2461000.5
8,2001981,1981 Midas (1973 EA),1981,15.25,True,False,2368.9449935595,5297.1220405568,3833.03351705815,864.6940102765044,0.6504955479929404,39.82338344164565,0.6208147993750656,2.931728212938413,1916-09-24,23199847.01189949,113050.5244038871,Earth,357.0,268.0,65.3,2461000.5
9,2003122,3122 Florence (1981 ET3),3122,14.08,True,False,4060.2705827968,9079.0410301763,6569.65580648655,859.3006319561886,0.4232384851275994,22.14277038617249,1.020220572478066,2.517534794933277,1930-08-29,7837812.447728948,50235.8172642385,Earth,336.0,27.9,168.0,2461000.5
10,2003200,3200 Phaethon (1983 TB),3200,14.39,True,False,3520.0998005474,7871.1824416075,5695.6411210774495,523.6236739904099,0.8897184635468977,22.31263747285634,0.1402114151262369,2.402578967303053,1924-10-21,22346296.40825863,121960.0409436022,Venus,265.0,322.0,164.0,2461000.5
11,2003361,3361 Orpheus (1982 HR),3361,19.56,True,False,325.5029857646,727.8468030489,526.67489440675,486.2478722753477,0.3231610018528006,2.651688392512523,0.8190773163367528,1.601224464674451,1929-11-12,22268336.09627086,46647.371583895,Earth,188.0,303.0,321.0,2461000.5
12,2003362,3362 Khufu (1984 QA),3362,18.52,True,False,525.4785303417,1175.0057145608,850.24212245125,359.5332510718517,0.4684608161126215,9.915985684678182,0.5259716972976222,1.453079756448313,1912-09-09,72881438.22636625,108037.2079069855,Earth,152.0,55.1,40.4,2461000.5
13,2004034,4034 Vishnu (1986 PA),4034,18.49,True,False,532.7886648737,1191.3516722989,862.0701685863,398.2607828523565,0.4440123314329569,11.16925301425348,0.5889944965048441,1.529737733736414,1904-12-26,10094314.19623201,54636.603857698,Venus,158.0,297.0,262.0,2461000.5
14,2004179,4179 Toutatis (1989 AC),4179,15.29,True,False,2325.7068745545,5200.4386672425,3763.0727708984996,1481.240624993748,0.624740333220544,0.4480782679755703,0.9542965353863628,4.13176317135645,1906-10-02,23118432.290616184,44403.6132967565,Earth,125.0,278.0,76.9,2461000.5
15,2004183,4183 Cuno (1959 LM),4183,14.16,True,False,3913.4066314662,8750.6432515568,6332.0249415114995,1018.365510685235,0.6361972434032498,6.66948058230087,0.7206695224739196,3.241199976347559,1903-09-16,11911798.540579785,64644.5647621966,Mars,294.0,237.0,317.0,2461000.5
16,2003671,3671 Dionysus (1984 KD),3671,16.49,True,False,1338.3046181583,2992.5401008038,2165.42235948105,1189.68413892372,0.5438362953411613,13.53279403537427,1.002327294409289,3.392267383652273,1930-11-15,275200659.7481271,11968.349214867,Juptr,82.0,204.0,252.0,2461000.5
17,2003757,3757 Anagolay (1982 XB),3757,19.01,True,False,419.3290754861,937.648317729,678.4886966075501,907.5882302983372,0.4458609644108424,3.866441989896492,1.016589680452097,2.652488349292782,1900-11-16,27345732.08504038,39218.822832244,Earth,74.9,17.2,92.4,2461000.5
18,2004015,4015 Wilson-Harrington (1979 VA),4015,16.19,True,False,1536.5792940044,3435.8957542125,2486.23752410845,1554.579658736235,0.6308546919671275,2.798581486347994,0.9694834255235232,4.28310087895958,1919-09-30,7860397.821594541,31701.5587859076,Earth,267.0,95.5,274.0,2461000.5
19,2004450,4450 Pan (1987 SY),4450,17.28,True,False,930.1542539614,2079.8881414182,1505.0211976898,632.6147073315498,0.5866098147000343,5.524111536657366,0.5961937236544746,2.288217879982716,1907-12-11,14855001.501073815,77122.7410916552,Venus,312.0,292.0,59.7,2461000.5
20,2004769,4769 Castalia (1989 PB),4769,17.4,True,False,880.1465209007,1968.067450894,1424.1069858973501,400.3646597722501,0.4831979099070784,8.885145229309328,0.5494090391109215,1.576778333746403,1902-02-18,9859362.333996717,56391.4056449794,Venus,326.0,121.0,324.0,2461000.5
21,2005011,5011 Ptah (6743 P-L),5011,16.66,True,False,1237.527836584,2767.1963666501,2002.36210161705,764.2669041778182,0.5002366487029833,7.409924526316391,0.8175772963382921,2.454280450799289,1902-03-31,6011158.472019949,55202.4690946434,Mars,10.6,106.0,2.07,2461000.5
22,2004486,4486 Mithra (1987 SB),4486,15.61,True,False,2007.0351411347,4487.8670088081,3247.4510749714,1197.012503135884,0.6600236371404584,3.030844964262606,0.7500937785356551,3.662529335769206,1902-08-23,26278354.244628202,79937.7172743942,Earth,82.2,169.0,276.0,2461000.5
23,2004660,4660 Nereus (1982 DB),4660,18.75,True,False,472.6666671883,1056.9147985314,764.79073285985,660.9791580339959,0.3587882686489839,1.453542356528226,0.9521989214483249,2.017799520227303,1900-01-29,3111379.539567199,19961.5141789709,Earth,313.0,160.0,49.8,2461000.5
24,2005189,5189 (1990 UQ),5189,17.84,True,False,718.7121331801,1607.0891860447,1162.9006596124,706.026868185522,0.4782496491603317,3.579591397876876,0.8096138909255357,2.293839282120155,1901-03-25,5402908.38766844,39386.5977363408,Mars,135.0,160.0,102.0,2461000.5
25,2005604,5604 (1992 FE),5604,17.38,True,False,888.2904163894,1986.2777548083,1437.28408559885,327.5836830240975,0.4064912990150852,4.698328804804425,0.5519625934305499,1.308035726777999,1901-02-26,15099448.370037582,53557.6578926263,Earth,312.0,82.8,350.0,2461000.5
26,2004581,4581 Asclepius (1989 FC),4581,20.74,True,False,189.0405519291,422.7075246174,305.87403827325,377.6824788770631,0.3569481235311107,4.917759774208245,0.6575542925440822,1.387550672096806,1901-06-27,16533200.938423863,45510.4484717792,Venus,180.0,255.0,233.0,2461000.5
27,2004953,4953 (1990 MU),4953,14.88,True,False,2809.0209394899,6281.1617709197,4545.0913552048,754.1391931403526,0.6574752762616668,24.3789720391057,0.5553847895412634,2.687503977609697,1919-11-18,18036378.617043577,68455.1119614343,Venus,77.5,77.9,116.0,2461000.5
28,2006239,6239 Minos (1989 QF),6239,18.59,True,False,508.8092248706,1137.7320143896,823.2706196301,451.0270944759817,0.412469459033552,3.941695071021104,0.6762385380175007,1.625730435051147,1900-08-23,29226839.550791293,67001.0348763421,Earth,344.0,240.0,184.0,2461000.5
29,2007341,7341 (1991 VK),7341,16.96,True,False,1077.8416872218,2410.127281611,1743.9844844164,912.8703415390908,0.5061419339695022,5.409986907354111,0.909513741525306,2.773786397057992,1961-11-19,19205793.738791525,46199.5579348024,Earth,295.0,174.0,196.0,2461000.5
30,2007822,7822 (1991 CS),7822,17.34,True,False,904.8049682253,2023.2054153312,1464.0051917782498,434.4967465598166,0.1646364244344887,37.12267408780917,0.9378519147655442,1.307522296411073,1915-09-02,14008925.001495387,68514.9696969829,Earth,157.0,249.0,154.0,2461000.5
31,2006489,6489 Golevka (1991 JX),6489,19.22,True,False,380.6755436269,851.2163929215,615.9459682741999,1423.732616671232,0.6187571562047618,2.259292857994011,0.9442529975427694,4.009298330229397,1926-08-01,12929666.158086961,42274.3614137096,Mars,209.0,69.5,252.0,2461000.5
32,2007335,7335 (1989 JA),7335,17.7,True,False,766.5755735311,1714.1150923063,1240.3453329187,862.029230168974,0.4845101481222294,15.16492079583256,0.91376775865081,2.631472774493483,1916-05-20,9668051.52143271,53780.4619486362,Earth,61.3,232.0,156.0,2461000.5
33,2005693,5693 (1993 EA),5693,16.78,True,False,1170.9948272004,2618.4240349208,1894.7094310605999,523.1126305857467,0.5851004346979131,5.058852629484916,0.5271580377217733,2.013977609590613,1902-01-05,20577254.412340436,91186.1940440056,Venus,97.0,259.0,118.0,2461000.5
34,2007753,7753 (1988 XB),7753,18.01,True,False,664.5917971389,1486.0724356914,1075.33211641515,649.2734073233098,0.4815705403185895,3.124881389711453,0.7607508823787917,2.174078025092225,1901-06-22,12475400.587117676,56744.9140438883,Earth,73.4,280.0,318.0,2461000.5
35,2006037,6037 (1988 EG),6037,18.86,True,False,449.3191996308,1004.7082739702,727.0137368005,523.7248757511283,0.4996137169793169,3.510550772285995,0.6362706829579036,1.906847322263689,1907-09-02,24873142.137397967,36707.6487448541,Earth,182.0,242.0,165.0,2461000.5
36,2006491,6491 (1991 OA),6491,18.72,True,False,479.2421155205,1071.6179479846,775.43003175255,1447.367486550608,0.5920989723391571,6.153287208481672,1.021429484185359,3.986792682073296,1906-06-20,21995931.58449278,21485.4831962423,Earth,300.0,326.0,240.0,2461000.5
37,2007482,7482 (1994 PC1),7482,16.58,True,False,1283.9702958217,2871.0448625479,2077.5075791848,572.1293533486463,0.3294446463358873,33.46933024678581,0.9044096126499818,1.793084658950477,1922-01-21,12398827.989851382,68295.78270751,Earth,118.0,47.5,138.0,2461000.5
38,2008566,8566 (1996 EN),8566,16.47,True,False,1350.687798326,3020.2297334364,2185.4587658811997,675.2374863781458,0.4303702364471029,37.98244836855392,0.8580213316508271,2.15453660176604,1911-09-08,3837113.752999631,83657.1643503005,Earth,164.0,125.0,303.0,2461000.5
39,2009856,9856 (1991 EE),9856,17.11,True,False,1005.900390178,2249.2616510316,1627.5810206048,1226.872340506097,0.6257509347195483,9.82869097147335,0.8393852952467928,3.646318868731713,1900-08-28,9138959.698892362,50560.3658575969,Earth,168.0,116.0,72.0,2461000.5
40,2012538,12538 (1998 OH),12538,15.96,True,False,1708.2639526286,3819.7943215901,2764.02913710935,699.1080825191683,0.4059016049682859,24.53563611387415,0.9158456984386284,2.167299134463129,1910-04-24,16101185.043699889,53378.5441888152,Earth,221.0,322.0,163.0,2461000.5
41,2010115,10115 (1992 SK),10115,17.1,True,False,1010.5434154201,2259.643771094,1635.09359325705,509.6034022285731,0.324881145801566,15.31793189768404,0.8429519728266607,1.654243795250337,1928-07-27,7517055.795036902,31328.3156392855,Mars,8.87,234.0,7.08,2461000.5
42,2013651,13651 (1997 BR),13651,17.89,True,False,702.3522476962,1570.5073699984,1136.4298088473001,563.7316692699279,0.305719614413037,17.25106682609745,0.9272230805163834,1.743810409022528,1906-07-31,21090469.248380028,51786.2101755805,Earth,117.0,134.0,158.0,2461000.5
43,2011500,11500 Tomaiyowit (1989 UR),11500,18.36,True,False,565.6593584222,1264.852777541,915.2560679815999,409.8720517895875,0.3558434139111002,10.31072554484955,0.6955975400847054,1.464118141185085,1906-11-28,13961667.258759191,34216.0675108828,Earth,234.0,290.0,315.0,2461000.5
44,2008014,8014 (1990 MF),8014,18.88,True,False,445.1998164478,995.4970531478,720.3484347978,843.8275156588015,0.4560056779676914,1.867201311651516,0.9506730970461742,2.544485063776365,1900-09-27,6682779.246328761,35954.6943440319,Earth,210.0,115.0,102.0,2461000.5
45,2012923,12923 Zephyr (1999 GK4),12923,15.8,True,False,1838.8867207025,4111.8757104125,2975.3812155574997,1003.972239895365,0.4927419786620389,5.309531583473192,0.9953544791606932,2.929095947607571,2032-09-22,27827973.86391964,49649.1020606282,Earth,168.0,147.0,195.0,2461000.5
46,2014827,14827 Hypnos (1986 JK),14827,18.81,True,False,459.7851882794,1028.1109360402,743.9480621598,1758.064238906256,0.6642732186549486,1.965344936206689,0.957069615914134,4.744409498023352,1919-07-01,141189149.83391255,25598.7154233324,Juptr,57.7,239.0,103.0,2461000.5
47,2020236,20236 (1998 BZ7),20236,17.7,True,False,766.5755735311,1714.1150923063,1240.3453329187,1059.01450621553,0.5609676912908281,6.506501258742682,0.8926861626570568,3.173921897609409,1905-06-12,10181490.51492071,41031.8721519818,Earth,111.0,105.0,179.0,2461000.5
48,2022753,22753 (1998 WT),22753,17.68,True,False,773.6686099821,1729.9756039778,1251.82210697995,491.4704635957887,0.5700138282363097,3.205155083320872,0.5240674096224324,1.913533815890684,1900-05-14,11361538.380077844,63892.5764604224,Venus,307.0,325.0,98.3,2461000.5
49,2016960,16960 (1998 QS52),16960,14.32,True,False,3635.4232184338,8129.053443399,5882.2383309164,1192.235773133378,0.8590716200141241,17.51813476737665,0.3101041708873747,4.09077194673285,1902-10-08,248012802.90291208,29447.7245748725,Juptr,260.0,243.0,69.5,2461000.5
